#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-03-08-02-06-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1424242847.905280	CJfOpj4e5TlBAEU4Rd	59.166.0.6	5451	149.171.126.0	80	TCP_seq_underflow_or_misorder	-	F	zeek	TCP
1424243667.373884	CRFcON2UsJZAFk4Pp2	175.45.176.3	13327	149.171.126.18	80	bad_HTTP_request	-	F	zeek	HTTP
1424243697.573683	C08AXG3e9fU31IgXq2	149.171.126.19	29057	175.45.176.3	53	DNS_RR_unknown_type	35	F	zeek	DNS
1424243828.292775	Cowlk51FFdnLUWLUwg	175.45.176.2	50236	149.171.126.16	25	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1424243852.641252	CtRsbX3Yl9n34MAfxc	175.45.176.2	26123	149.171.126.15	80	unescaped_%_in_URI	-	F	zeek	HTTP
1424243852.641252	CtRsbX3Yl9n34MAfxc	175.45.176.2	26123	149.171.126.15	80	partial_escape_at_end_of_URI	-	F	zeek	HTTP
1424243894.948465	CspKRo3oSLYJGD1ale	175.45.176.2	15388	149.171.126.12	8554	unescaped_%_in_URI	-	F	zeek	HTTP
1424243894.948465	CspKRo3oSLYJGD1ale	175.45.176.2	15388	149.171.126.12	8554	invalid_http_09_request_method	OPTIONS	F	zeek	HTTP
1424243914.563839	C8MIo61UySKbEWQlP8	175.45.176.1	35742	149.171.126.17	631	bad_HTTP_request	-	F	zeek	HTTP
1424243988.461251	C6wfkt40l0NnWtWNea	175.45.176.3	21986	149.171.126.13	21	NUL_in_line	-	F	zeek	NVT
1424244010.394487	CNGAIw3EgOo5HMlLS1	175.45.176.2	137	149.171.126.18	137	DNS_label_forward_compress_offset	-	F	zeek	DNS
1424244013.966797	CAy1jh4Inr5IdYGtqf	175.45.176.0	1621	149.171.126.14	2100	line_terminated_with_single_CR	-	F	zeek	NVT
1424244013.966797	CAy1jh4Inr5IdYGtqf	175.45.176.0	1621	149.171.126.14	2100	FTP_invalid_command	-	F	zeek	FTP
1424244025.863383	C8KhXZbEjeTbuGZh5	175.45.176.1	25044	149.171.126.16	80	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1424244042.029865	C2Edx03Ftae2ZtmRN9	175.45.176.0	57956	149.171.126.17	4559	FTP_user_too_long	517	F	zeek	FTP
1424244054.493271	CQztgs4jmVeRUclRvg	175.45.176.2	11055	149.171.126.10	21	FTP_arg_too_long	32791	F	zeek	FTP
1424244055.874196	CUHTiz2KfpBrPKRMv4	175.45.176.2	24498	149.171.126.10	21	FTP_arg_too_long	32791	F	zeek	FTP
1424244057.402299	CcFoHp2Wcx922LNmO8	175.45.176.2	30182	149.171.126.10	21	FTP_arg_too_long	32791	F	zeek	FTP
1424244058.859255	C3XQ4G4ruDHXXYU3Q2	175.45.176.2	6403	149.171.126.10	21	FTP_arg_too_long	32791	F	zeek	FTP
1424244060.226788	CuxEhq3dXSvzp3SMIl	175.45.176.2	4360	149.171.126.10	21	FTP_arg_too_long	32791	F	zeek	FTP
1424244061.876597	CAiaRf4qcm9H1Q6Z6j	175.45.176.2	21595	149.171.126.10	21	FTP_arg_too_long	32791	F	zeek	FTP
1424244063.534404	C8qjV04bbd2MqctSzd	175.45.176.2	11231	149.171.126.10	21	FTP_arg_too_long	32791	F	zeek	FTP
1424244065.166231	Cwcgvu3jbsX3pROBH2	175.45.176.2	34280	149.171.126.10	21	FTP_arg_too_long	32791	F	zeek	FTP
1424244067.197220	CkJrpn1jW7SHkxYlhg	175.45.176.2	20241	149.171.126.10	21	FTP_arg_too_long	32768	F	zeek	FTP
1424244105.863072	C7feEC1RB5pwWhGoxa	175.45.176.3	57999	149.171.126.15	5060	unknown_SIP_method	ewATWnWdK	F	zeek	-
1424244140.162673	CrovoZ1fqJtlzeDMy6	175.45.176.2	22005	149.171.126.15	21	line_terminated_with_single_CR	-	F	zeek	NVT
1424244140.162673	CrovoZ1fqJtlzeDMy6	175.45.176.2	22005	149.171.126.15	21	NUL_in_line	-	F	zeek	NVT
1424244163.031744	CfKZdc2SyjsNrQvzCl	175.45.176.1	30799	149.171.126.10	53	DNS_unknown_opcode	1	F	zeek	DNS
1424244177.284173	CBVpxAnrzDtJVWPDh	175.45.176.2	26948	149.171.126.15	80	unescaped_%_in_URI	-	F	zeek	HTTP
1424244189.548000	-	-	-	-	-	x509_cert_parse_error	FjF7ybn0Wm7FuZx3g	F	zeek	-
1424244246.684767	CtSlP42Uut0sr7bI1g	59.166.0.7	45366	149.171.126.5	80	unescaped_%_in_URI	-	F	zeek	HTTP
1424244262.971308	CrMUiO2VjvduWSEDpg	59.166.0.5	42427	149.171.126.9	80	unescaped_%_in_URI	-	F	zeek	HTTP
1424244272.687115	Cg2OVpBBeGz1nbNvf	175.45.176.3	55185	149.171.126.11	80	bad_HTTP_request	-	F	zeek	HTTP
1424244272.687115	Cg2OVpBBeGz1nbNvf	175.45.176.3	55185	149.171.126.11	80	empty_http_request	-	F	zeek	HTTP
1424244272.971285	C2NpoH2oFzeWVCM5Eb	59.166.0.3	65174	149.171.126.1	80	unescaped_%_in_URI	-	F	zeek	HTTP
1424244323.923454	C5b8fg16RXUMOtMAdg	175.45.176.2	4470	149.171.126.10	80	bad_HTTP_request	-	F	zeek	HTTP
1424244346.971794	CYK6H6Wh0pHO2Z3Ra	59.166.0.4	1840	149.171.126.9	6666	line_terminated_with_single_CR	-	F	zeek	CONTENTLINE
1424244346.971794	CYK6H6Wh0pHO2Z3Ra	59.166.0.4	1840	149.171.126.9	6666	irc_line_too_short	-	F	zeek	IRC
1424244346.971799	CYK6H6Wh0pHO2Z3Ra	59.166.0.4	1840	149.171.126.9	6666	irc_invalid_command	-	F	zeek	IRC
1424244346.975147	CYK6H6Wh0pHO2Z3Ra	59.166.0.4	1840	149.171.126.9	6666	irc_line_size_exceeded	-	F	zeek	IRC
1424244346.978299	CYK6H6Wh0pHO2Z3Ra	59.166.0.4	1840	149.171.126.9	6666	irc_too_many_invalid	-	F	zeek	IRC
1424244346.978299	CYK6H6Wh0pHO2Z3Ra	59.166.0.4	1840	149.171.126.9	6666	irc_invalid_reply_number	-	F	zeek	IRC
1424244360.435168	Civnt7AzajkCUJn1g	175.45.176.3	8610	149.171.126.13	80	line_terminated_without_CRLF	-	F	zeek	CONTENTLINE
1424244360.438868	Civnt7AzajkCUJn1g	175.45.176.3	8610	149.171.126.13	80	HTTP_version_mismatch	-	F	zeek	HTTP
1424244360.438868	Civnt7AzajkCUJn1g	175.45.176.3	8610	149.171.126.13	80	invalid_http_09_request_method	POST	F	zeek	HTTP
1424244360.570200	Civnt7AzajkCUJn1g	175.45.176.3	8610	149.171.126.13	80	HTTP_excessive_pipelining	-	F	zeek	-
1424244360.699310	Civnt7AzajkCUJn1g	175.45.176.3	8610	149.171.126.13	80	bad_HTTP_request	-	F	zeek	HTTP
1424244360.991380	CypaqZ2uWYw0WNTL2	59.166.0.7	61300	149.171.126.1	80	unescaped_%_in_URI	-	F	zeek	HTTP
1424244362.902419	CEjGVa3zBpaiBFFdf7	59.166.0.3	55991	149.171.126.1	80	unescaped_%_in_URI	-	F	zeek	HTTP
1424244374.856972	-	175.45.176.1	0	149.171.126.17	0	invalid_inner_IP_version	-	F	zeek	IPTUNNEL
1424244377.135931	-	175.45.176.1	0	149.171.126.17	0	gre_routing	-	F	zeek	GRE
1424244381.850487	CbsH4Y3bP7gR0pCc3g	175.45.176.2	18106	149.171.126.16	21	FTP_user_too_long	1031	F	zeek	FTP
1424244382.413852	-	175.45.176.1	0	149.171.126.17	0	ipv6_no_next	-	F	zeek	IP
1424244394.173061	C1MT1a6oVz72RBjX5	59.166.0.9	30330	149.171.126.6	80	unescaped_%_in_URI	-	F	zeek	HTTP
#close	2025-03-08-02-06-20
