#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	smtp
#open	2025-03-07-06-43-07
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	helo	mailfrom	rcptto	date	from	to	cc	reply_to	msg_id	in_reply_to	subject	x_originating_ip	first_received	second_received	last_reply	path	user_agent	tls	fuids
#types	time	string	addr	port	addr	port	count	string	string	set[string]	string	string	set[string]	set[string]	string	string	string	string	addr	string	string	string	vector[addr]	string	bool	vector[string]
1421927439.282477	C7tPkF2nMawWA4I6l6	175.45.176.1	24289	149.171.126.19	25	1	ALKnDdQcD	cfbKreD0EVW7@ALKnDdQcD.com	UTOAk130wFN8uY4TW@QXgArdcXcXhFywWMEHbTJkCDHwcHaTHH.com	Wed, 21 Jan 2015 09:54:13 +1100	O0m@ALKnDdQcD.com	ndsTTwiyu5lauqfMHR@QXgArdcXcXhFywWMEHbTJkCDHwcHaTHH.edu	-	-	<RXJOhJWrPjiR4jkZiv0az>	-	2aOcWL0o9	-	-	-	250 2.6.0 <MAILJTdc23NhPZsvWnJqq5KNhHeV@QXgArdcXcXhFywWMEHbTJkCDHwcHaTHH> Queued mail for delivery	149.171.126.19,175.45.176.1	-	F	FHNpY31vYB0m0hzBx2,FhlZqu3YmBwoSzzqci
1421927443.093682	CMnbw1iZWH8CfPDWj	59.166.0.6	6166	149.171.126.5	25	1	client-3ba60004.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:08:14 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Thu Jul 31 14:28:19 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.5,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FQ7a5762q9zskEuG4,F3SkuoY3oOEf7x2Ra
1421927450.165022	CdGOU82KB58Zt4VAs3	175.45.176.0	56253	149.171.126.12	25	1	MVfEkPuAFFJsOvhHAT	MN06wTQKWWZ@MVfEkPuAFFJsOvhHAT.net	Bp52nqqCG1Tv2hXjOXMXuSjkz@tgJKWcWBFwUFITZNKFDmaOASKgBPniz.us	Wed, 21 Jan 2015 09:54:24 +1100	Sjq@MVfEkPuAFFJsOvhHAT.edu	YPLRM6SdanMhT9y@tgJKWcWBFwUFITZNKFDmaOASKgBPniz.edu	-	-	<EBC5hDJrUyOWdrTtxwPGX6vHTYrjHxA18DJaXxtnrNpuIRBRo8UXb>	-	w6bbmANnemQ7z2XiFwKvtK3X8x5XBm37N72bY75wGhtr	-	-	-	250 2.6.0 <MAILTdrippoN8XfXLqAbmloKZ6T5@tgJKWcWBFwUFITZNKFDmaOASKgBPniz> Queued mail for delivery	149.171.126.12,175.45.176.0	-	F	FrPc2a16LuIFTVNTMd,FCADDp2POdKbVWKUgg
1421927443.063454	CHDzoH2MrtRDOGdku8	59.166.0.0	65052	149.171.126.0	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.0,59.166.0.0	Microsoft Outlook Express 6.00.2800.1158	F	Fp13Fa2yoPQSWy6lgd,Fbyzaf1aroGPbnC2e9
1421927443.086003	CWl52Y1mslNbmMR6Y	59.166.0.7	39029	149.171.126.2	25	1	client-3ba60004.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:08:14 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Thu Jul 31 14:28:19 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.2,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	FqMZLS245YSCIgsBo,FcCsZU10wAelm9xjyd
1421927451.320477	CQQjnzfBLwWOBRFY9	175.45.176.2	21424	149.171.126.14	25	1	ehTtaIQPZ	mkE39Msm5NknbXS@ehTtaIQPZ.org	qeA9PkIqlftp91@TMbxGvkwUZEW.gov	Wed, 21 Jan 2015 09:54:25 +1100	VejcX@ehTtaIQPZ.gov	LK84op3L0vUUDWMq4tOGsO@TMbxGvkwUZEW.org	-	-	<s77SIdSp5sxC1ZxfCPwCrMRZTBSCwcmgMOnGHkAXVDwh58ht>	-	Wt99dooQH9va8jMRt8nNTGgBUZoNvUwvPYXbBeiu	-	-	-	250 2.6.0 <MAILC4bOsgFNFUSNKZKMN3kJV4WV@TMbxGvkwUZEW> Queued mail for delivery	149.171.126.14,175.45.176.2	-	F	FZGGEQ2vlUFH0ngRV1
1421927443.093695	C2vTlT1Vhzhao1TU04	59.166.0.7	35342	149.171.126.8	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.8,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	FaGT0H2jeYWvo3Uufh,FZmpMyzmqKqBIzYw6
1421927443.116727	CllaTe1jz1tkuO3A91	59.166.0.9	45285	149.171.126.1	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.1,59.166.0.9	Microsoft Outlook Express 6.00.2800.1158	F	FCaNX93HrKeT0JX6G4,FHoiw339JSPRWe04J5
1421927443.089492	CrFzCp3qyvRrmWMMHg	59.166.0.2	55284	149.171.126.3	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.3,59.166.0.2	Microsoft Outlook Express 6.00.2800.1158	F	FbUdzM1xXcq3EC98j5,F0KC201dLxxLCtw9yj
1421927443.094677	CegJnh23kkqXCxnj7i	59.166.0.4	15925	149.171.126.8	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.8,59.166.0.4	Microsoft Outlook Express 6.00.2800.1158	F	FpU7bz4CDeIWS4P2C,FVhGPK10EcHpkMDMMk
1421927444.363476	CZ6vd21MQV6cM2Nwv7	59.166.0.7	20435	149.171.126.7	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.7,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	FNBWAh162pwKrgg4M6,FaHAJv48mpB89X5jF1
1421927443.224406	CdZ7CZ3Xzbl2c6BeXg	59.166.0.0	25308	149.171.126.9	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.9,59.166.0.0	Microsoft Outlook Express 6.00.2800.1158	F	FA0Fam2zMN96sjzjEj,FDUiY31N3lABvulGyi
1421927443.092695	CP11rf1rarffCp1613	59.166.0.0	60749	149.171.126.6	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.0	Microsoft Outlook Express 6.00.2800.1158	F	FPBjdG23OkP4anK9k7,FUQBwI16ESOkwObZsh
1421927443.302560	CiMUGm250ZSMf5lg7c	59.166.0.7	42953	149.171.126.5	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.5,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	F7CJaV2PK0VW0plel2,F3cJZrWZSGRDHiso4
1421927449.794424	CrMWf82odAwOOPkZtc	59.166.0.5	60540	149.171.126.5	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.5,59.166.0.5	Microsoft Outlook Express 6.00.2800.1158	F	FuP0WT8d0nrCrcCU,FIaCHs1sbWsCkZGnJ6
1421927443.090647	C5cPOf97uRDr0WYfd	59.166.0.5	34290	149.171.126.6	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.5	Microsoft Outlook Express 6.00.2800.1158	F	Fbhnoz4bKFXLXpAsGj,Fu8Y7b3qOkYm2oTUa8
1421927449.696706	CrKO4b1HFYpiyapah	59.166.0.1	55732	149.171.126.7	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.7,59.166.0.1	Microsoft Outlook Express 6.00.2800.1158	F	Fmt3OV3PF4lqNrjV79,F2M8Bj3ZHmRSgZ1hU9
1421927443.338591	CwG40M1SLKEZcJftM2	59.166.0.4	21506	149.171.126.4	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.4,59.166.0.4	Microsoft Outlook Express 6.00.2800.1158	F	F4qT4E28iCGsNJqxCe,Fwd4Gz3Mip1OqTXM5
1421927445.939564	CkdoBD3cc3BsoYzyb7	59.166.0.9	46662	149.171.126.5	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.5,59.166.0.9	Microsoft Outlook Express 6.00.2800.1158	F	FzOmxG4iZiVZr2ETq1,FZRoKh2lkqX7JhJDM4
1421927443.098635	CrZG2h2WvmO4PYXTg	59.166.0.9	16096	149.171.126.8	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.8,59.166.0.9	Microsoft Outlook Express 6.00.2800.1158	F	FbQy2d2B5P78qfud5k,F1IkFB1V1SBVDpFcFg
1421927450.536426	CVrHYY14yOrjO0om0c	59.166.0.4	14049	149.171.126.6	25	1	client-3ba60004.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:08:14 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Thu Jul 31 14:28:19 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.4	Microsoft Outlook Express 6.00.2800.1158	F	FtUOTo4lrUgJSmfsz2,FvoJQO3Lk2EpJAqdO9
1421927450.207353	CF2RcY1AheizmwDeJ2	59.166.0.6	12301	149.171.126.1	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.1,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FnDRwd19XuCnVYdU0l,FM6TXV1qP4SkO5ebHe
1421927454.093466	CiZbFY3INwLWC3TC9l	59.166.0.7	39700	149.171.126.3	25	1	client-3ba60004.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:08:14 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Thu Jul 31 14:28:19 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.3,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	FgQsys4ca5ToGAtype,FK5vdcTPOVU0Kgpq5
1421927456.128491	C5KGV12D7HfxUEDozh	59.166.0.0	7053	149.171.126.8	25	1	client-3ba60004.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:08:14 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<a1G2aAwj62kOkrOJ@example.com>	-	But it isn't only that Jeeves's judgment about	-	qmail 1083 by uid 1363; Thu Jul 31 14:28:19 +1000 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.8,59.166.0.0	Microsoft Outlook Express 6.00.2800.1158	F	FpSkTT2rdQNObGayZb,Fr3QWQJPcQj70VoK2
1421927450.331420	C5iWKSULtMTiFpT18	59.166.0.0	64753	149.171.126.8	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.8,59.166.0.0	Microsoft Outlook Express 6.00.2800.1158	F	FAfI6q3ewViKmWOfDd,FyCPsv27YtNXypuZR3
1421927455.107472	CDFLLc1H5ytCDVKKX2	59.166.0.7	12384	149.171.126.3	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.3,59.166.0.7	Microsoft Outlook Express 6.00.2800.1158	F	FnsQTmPo7dbJ2KcZi,FmS2Vu3869DRQkL8Gk
1421927443.367418	CXaeDv3QtZDuErfXdh	59.166.0.6	8196	149.171.126.6	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.6,59.166.0.6	Microsoft Outlook Express 6.00.2800.1158	F	FTJx4B3wHOcU67Y24j,FBw3bS3C91Cc8n4R9i
1421927453.144538	CUeEzqZZ6y908R4Li	59.166.0.2	41067	149.171.126.7	25	1	client-3ba60008.example.int	sender@example.com	recipient@example.com	Wed Jan 21 00:48:35 +1100 2015	<sender@example.com>	<recipient@example.com>	-	-	<ECHcEpBEPkUjDA6q@example.com>	-	You see, the part of town where I	-	qmail 1942 by uid 2780; Wed Mar 26 08:57:22 +1100 2014	-	250 2.6.0 <FESFSEF> Queued mail for delivery	149.171.126.7,59.166.0.2	Microsoft Outlook Express 6.00.2800.1158	F	FQMG0B2K9nETZwwNQ1,FjhDRX1hvi0yB04cc1
