#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	mysql
#open	2025-03-08-01-59-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	cmd	arg	success	rows	response
#types	time	string	addr	port	addr	port	string	string	bool	count	string
1424236687.354375	CULJ0k1MEslRS4wZRc	175.45.176.3	46786	149.171.126.11	3306	query	delete jaqRegPulrYntxitXtaEAMccZsicqSqxiUstJGpGzaCZXUauRvvkTabKNegrWesyjVoyeETOOqKhVufqikOIQXoVmwhArNjAaDJpmJQoprGyZCoBebpPWbbhhEGZrDqBIqxMKsrruMYJlYWulNlOlvNxyTrJKFeWVlixsVyJmercFZXBAwzPbWngDiziiEnulHdJPPbxkUVicgmOzzubCHTXqUXDnnuGmvSSrSpmLDjcATKprdUyNtEWwYGbzLiyfETTuzOwoIazxvOclyOrUKuVAUFFqyXbLudgvrTjoNPMuYrUzqveqIMaNFqjjlgVejoKqgkDfPPyXTSSNVZvgwqTLeNNOaNwDpujeRFSZXLrbOPDhaioFcVXCYDxNtNXzCMnGNNzMdbvfNOdkJdjVmOIWuYfMbbXcsArdqDTtjyuGXfyuRHYNGwrcAVUHyrzjvSYvGjSMWGgvXS	-	-	-
1424237850.430631	CfhBEd1st8x7cWbj49	175.45.176.2	8664	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237851.663303	CKq3rb37Bt3DgLIRvb	175.45.176.2	10866	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237852.558218	CiZxpr2fLCtC0W6aSg	175.45.176.2	57718	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237853.333449	CmI4o24TJRGlSHVGsa	175.45.176.2	8660	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237854.458460	CAhAMZePzUAacdAh7	175.45.176.2	8634	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237855.656928	C3V9mx4WkHRY9lzgT1	175.45.176.2	30098	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237857.478207	CUDKsH2TkcZAPMRYWb	175.45.176.2	49753	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237858.457783	CD2hj33bpnbPp1ozU1	175.45.176.2	1765	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237860.447505	CGI0Ni4msq53Buwvph	175.45.176.2	29484	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237862.100624	CLFHhO3hlCTX0cnbmj	175.45.176.2	5113	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237863.606424	CfISaC3dmlGh219BD2	175.45.176.2	7783	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237866.832670	Cy3g5yLOlAePUxiY7	175.45.176.2	10611	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237868.713007	CfI1C84WdlB8cNSDSa	175.45.176.2	1396	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237870.731391	CN1HUsutOPi9WkS69	175.45.176.2	14266	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237872.865468	ChLhEV18sf8p7g54qc	175.45.176.2	64211	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237875.812307	CMOXrQ2DYimhMgXGMa	175.45.176.2	13597	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237878.462888	Cj8C5F3vqOnZpYf27g	175.45.176.2	30992	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237879.982279	CUBdkLtre4BLdl1eb	175.45.176.2	12388	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237882.737202	C4MY6z3w07YK1QyOub	175.45.176.2	2766	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237885.218005	C8jpDA2mcNdbMJYOGl	175.45.176.2	30374	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237887.589200	C7GUvS3ogY7bDN44bh	175.45.176.2	30467	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237889.810715	CHdIin1jL3I9mOYapc	175.45.176.2	10302	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237891.327700	CKYNvZ3O506G4KjXza	175.45.176.2	14015	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237892.938096	CUN2bA2lBN7oEoHdrg	175.45.176.2	20533	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237894.455860	CS0t1mtDbMoZ13Zni	175.45.176.2	9527	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237895.477153	Co46Ju2CNdiT8PzUb9	175.45.176.2	63821	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237896.836643	CdRcvn1SqsIgG8sdX7	175.45.176.2	9448	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237898.609268	CDYOmz2ZqJXECI3dc4	175.45.176.2	1914	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237900.820952	CJyH281MQzOKXO2lwh	175.45.176.2	15996	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237902.589243	Cj1Ot339WRWMADdzI1	175.45.176.2	14353	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237904.894450	CeZpBy2ClpblwFfOLg	175.45.176.2	11965	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237906.143416	CrC9ha2jFKXlARj3N7	175.45.176.2	9482	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237908.489049	CHibr82fAJiJxPw2gl	175.45.176.2	30431	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237909.863629	ChLeuN3OMqAFDchIee	175.45.176.2	15073	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237911.302565	CWAOOU1o1wYs9D7lc8	175.45.176.2	11342	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237912.500338	C1qbZS29OSHgejRqRg	175.45.176.2	30147	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237913.831613	CQjnNew7ogz9ASOc2	175.45.176.2	9086	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237916.213686	C3Fom9dPfLz8KwTo6	175.45.176.2	13649	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237918.519139	CJHRHXW7B6OGrI2mk	175.45.176.2	13703	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237920.386148	C8t8C33F7UD6iH32ic	175.45.176.2	13721	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237922.333538	C8RF3PrfjFZSxeJyd	175.45.176.2	14288	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237924.701489	Cg5uq924JkKxjQ0czk	175.45.176.2	30102	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237928.802887	CIh8DJ2N3g3XhZAWS3	175.45.176.2	30405	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237931.091616	Cc9e2e3sTWz1RroNd1	175.45.176.2	60620	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237932.500149	CU2RQb1LKEvPGuUM9	175.45.176.2	8637	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237933.531867	Cw1GAUKB2Dkd6WTob	175.45.176.2	10834	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237935.068439	CriJ7A2Zwtuo1JAGQh	175.45.176.2	1789	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237936.424051	CHlYUy4R2fQU89k0g2	175.45.176.2	50345	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237938.346812	CU2nBQ2rcYeEIFq6Li	175.45.176.2	54577	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237940.061385	CL6USJ2gSlbeeYruu9	175.45.176.2	8630	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237941.455106	CnVBA01kkg1Onf1Tig	175.45.176.2	5780	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237945.004309	CM1JTP1yUF7PdaUZrj	175.45.176.2	30095	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237946.859762	C50r8E1b3Zng9u0q6e	175.45.176.2	8528	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237949.280035	CWI6Da4KB3zx54tEz3	175.45.176.2	8661	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237950.925116	CcGP8216T3KCXERyn	175.45.176.2	1661	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237953.687077	C3wMow2lnovGSZ9WN1	175.45.176.2	10770	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237956.046569	Cfll0is05T1EJMhK2	175.45.176.2	8658	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237957.891599	CBIrZx2zOz9QkxNyJ8	175.45.176.2	42070	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237961.080897	C0KR4x3eJYgctwWbcg	175.45.176.2	14281	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237966.409916	CuIxyG7gldQyhygDb	175.45.176.2	29247	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237968.513833	Co5EH1Y0vFtMMFtzc	175.45.176.2	64454	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237969.681117	CqmC402JbQ0HwNsKB1	175.45.176.2	1506	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237971.809630	C01J371YBjhgyFVG2g	175.45.176.2	1287	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237973.251105	CLZbb14MxHQVWMdqqh	175.45.176.2	7264	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237974.989571	Cs6l6146LLu3B3w8xc	175.45.176.2	4649	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237977.198040	C8S8DU1UwEybjKbiBi	175.45.176.2	39211	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237978.585110	Cebp3V16b7XCQOjYt5	175.45.176.2	13073	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237981.291399	CCqZSJ3nP5fR9P2vKc	175.45.176.2	3154	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237983.144271	Ci1dzV2yo1U6PdBMpj	175.45.176.2	64194	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237985.081764	CNVbXw4AOTkvMIbaE9	175.45.176.2	30393	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237988.170942	COz3EJ1DRygDXeRusi	175.45.176.2	10508	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237990.081029	CphdXD3PS6PZNwA5bd	175.45.176.2	13566	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237991.291028	CMxHvD1LC9efhec3P8	175.45.176.2	12362	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237993.520812	Cl3rQx2hzqAelowKIc	175.45.176.2	30471	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237996.548495	CUfVY94kB5sFCGLjj9	175.45.176.2	14125	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424237998.444239	CtihEM3p3JS5JxadX7	175.45.176.2	14021	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238001.095563	ChheZSl02OY8BOig5	175.45.176.2	30805	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238003.358053	CjbqUZ3H3sm8HYp8g4	175.45.176.2	24267	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238006.059360	CKhW681URd79haYK5a	175.45.176.2	2356	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238007.608465	C2kcGD1DplbpGLduWi	175.45.176.2	30368	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238009.124442	CfOOhG2OR8nM7p8OM4	175.45.176.2	10432	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238011.204148	CxC3Ce3aVGDaAlBFQ4	175.45.176.2	30462	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238014.082789	C6jx874nApmFzWqE08	175.45.176.2	9529	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238016.686874	Cu1of01hJvXJKtRwG8	175.45.176.2	9461	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238019.853507	Cl8H7n24ZEOKthFPPf	175.45.176.2	63895	149.171.126.13	3306	login	root	F	-	Access denied for 'root'@'175.45.176.2'.
1424238024.288191	CRjn3oNppBNdReMKa	175.45.176.2	10153	149.171.126.13	3306	login	root	T	49	-
#close	2025-03-08-02-00-01
