#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	analyzer
#open	2025-03-08-02-06-27
#fields	ts	cause	analyzer_kind	analyzer_name	uid	fuid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	failure_reason	failure_data
#types	time	string	string	string	string	string	addr	port	addr	port	string	string
1424244396.672634	violation	packet	GTPV1	Cua0YwNrJiTleU9ai	-	59.166.0.4	9377	149.171.126.2	2123	Binpac exception: binpac exception: out_of_bound: GTPv1_Ext_Header:contents: -1 > 76	-
1424244451.174654	violation	protocol	SSH	ClRnWg1RPqEBtlxHNa	-	59.166.0.1	47666	149.171.126.0	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244452.210266	violation	protocol	IMAP	Ce9rPS1xAaNPF4s3Ub	-	175.45.176.3	20078	149.171.126.14	143	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aUiAQeU8biC80gRSkvZIShzDQnN0pOT25sNcuiRg31MyhoXPtMa1r2zh89zHbt3FPjqCI4w0xM50Kc9iuyvw83Qd6TRp94JkpUDlqej2mZh9sMPsk0nqX\x0d\x0a--_002679737344429753463976\x0d\x0aContent-Type: application/vnd.ms-excel; name=BXh1bsK7u.Xls\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="BXh1bsK7u.Xls"\x0d\x0a\x0d\x0a=D0=CF=11=E0=A1=B1=1A=E1=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00>=\x0a=00=03=00=FE=FF\x09=00=06=00=00=00=00=00=00=00=00=00=00=00=01=00=00=00=01=00=\x0a=00=00=00=00=00=00=00=10=00=00=02=00=00=00=02=00=00=00=FE=FF=FF=FF=00=00=00=\x0a=00=00=00=00=00=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF	-
1424244460.674786	violation	protocol	SSH	CYC0Bn3kq4aUp03fTg	-	59.166.0.1	8386	149.171.126.7	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244462.974082	violation	protocol	SSH	CwrUhLbPnMb8ZuVX9	-	59.166.0.0	16969	149.171.126.6	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244467.074900	violation	protocol	SSH	C3laUf1UjbBIt9RGfk	-	59.166.0.9	61768	149.171.126.2	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244479.831999	violation	protocol	IMAP	Crm0kQ3YpIKtEGYhah	-	175.45.176.3	55185	149.171.126.19	143	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0ae5fdn0AGmdCYQaDixetspV5Y2QNX8GUXW0GUwY0A6BxcskSavSEWTvDYm6gyvccCFXOTxCbgfBvWyhmhc7E5FXxYOuaV5xWn8YQZQ8IhDNmHjMDxqHEVp\x0d\x0a--_768384272719068642269631\x0d\x0aContent-Type: video/x-msvideo; name=ZyU6LEt.Avi\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: attachment; filename="ZyU6LEt.Avi"\x0d\x0a\x0d\x0aUklGRmDwAABBVkkgTElTVDIBAABoZHJsYXZpaDgAAABADQMAAAAAAAAAAAAQ\x0aCQAABQAAAAAAAAACAAAAAAAAABQAAAAZAAAAAAAAAAAAAAAAAAAAAAAAAExJ\x0aU1R0AAAAc3RybHN0cmg4AAAAdmlkc0lKUEcAAAAAAAAAAAAAAAABAAAABQAA\x0aAAAAAAAFAAAAiRAAAAAAAAAAAAAAAAAAABQAGQBzdHJmKAAAACgAAAAUAAAA\x0aGQAAAAEAGABJSlBH3AUAAAAAAAAAAAAAAAAAAAAAAABMSVNUagAAAHN0cmxz\x0adHJoOAAAAGF1ZHNVAAAAAAAAAAAAAAAUAAAAgAQAAESsAAAAAAAAOgAAANsC\x0aAAAAAAAAAAAAAAAAAABAAAAAc3RyZh4AAABVAAIAvZ8k/5RZAACABAAADAAB\x0aAAIAAACABAEAAABMSVNUaNwAAG1vdmkwMXdiaAAAAP/7EGQAD/AAAGkAAAAI\x0aAAANIAAAAQAAAaQAAAAgAAA0gAAABBGJBKLhaNxuLhqLAIA86ITsQdy	-
1424244488.975240	violation	protocol	SSH	Cv6hti2tg681Wzk37e	-	59.166.0.4	58790	149.171.126.4	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244496.581060	violation	protocol	SIP	CNYcWH3NUzIsu6eWgk	-	175.45.176.1	7287	149.171.126.14	5060	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:62: \x0aexpected pattern: ":"\x0aactual data: "413 Request Entity Too Large"	-
1424244505.145193	violation	protocol	DCE_RPC	C9CagW12m1xOxJUsxh	-	175.45.176.2	57559	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244505.276443	violation	protocol	SSH	CS1Lti2bmVpwqqFjLc	-	59.166.0.6	19880	149.171.126.5	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244505.502637	violation	protocol	DCE_RPC	C6OFwu4fLnTtmoBjli	-	175.45.176.2	64753	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244506.191092	violation	protocol	DCE_RPC	CThhed3Ba1mVFNXh6l	-	175.45.176.2	60056	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 1 > 16	-
1424244506.580539	violation	protocol	DCE_RPC	CNbwo52Iy1TA4pbRn5	-	175.45.176.2	49756	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 2 > 16	-
1424244508.160325	violation	protocol	DCE_RPC	Cqew2w4R7IR55rG9nh	-	175.45.176.2	64920	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244508.595932	violation	protocol	DCE_RPC	CjNzgB1SbgS9HOXpfe	-	175.45.176.2	63564	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244509.373675	violation	protocol	DCE_RPC	CHV0Qn5DAxHnD8vyg	-	175.45.176.2	60783	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244509.921724	violation	protocol	DCE_RPC	C88lZc4lH52SLfava8	-	175.45.176.2	57334	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 1 > 16	-
1424244510.826475	violation	protocol	DCE_RPC	Cej3ue2QiisNJYw0Ig	-	175.45.176.2	58236	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 2 > 16	-
1424244513.356819	violation	protocol	DCE_RPC	CYaV0E2Y6ghNLByCr5	-	175.45.176.2	65259	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244514.026827	violation	protocol	DCE_RPC	CVkci71dNEhVhcirhj	-	175.45.176.2	61175	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244514.653652	violation	protocol	DCE_RPC	Cy2sha1Sei6ojGwvD8	-	175.45.176.2	50666	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244515.810431	violation	protocol	DCE_RPC	Cz22rp4M9Uk76fiCGb	-	175.45.176.2	64154	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 1 > 16	-
1424244516.735122	violation	protocol	DCE_RPC	Cv4hAr1ebSaHLQPCfk	-	175.45.176.2	3828	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 2 > 16	-
1424244519.643159	violation	protocol	DCE_RPC	ChWYSo4ltBy5KXJQoc	-	175.45.176.2	57062	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244520.508308	violation	protocol	DCE_RPC	CrHaU4IigZXnOpI55	-	175.45.176.2	65337	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244521.401883	violation	protocol	DCE_RPC	CA5Tyn371yIt8sZNIb	-	175.45.176.2	64852	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244522.503468	violation	protocol	DCE_RPC	CwiXhh39YEokoW9bVd	-	175.45.176.2	32752	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 1 > 16	-
1424244523.366857	violation	protocol	DCE_RPC	CyJ8uA1fml8TWOkIz6	-	175.45.176.2	63223	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 2 > 16	-
1424244527.356059	violation	protocol	DCE_RPC	Cqbg4Y3Y2CLRnZsqKk	-	175.45.176.2	60292	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244529.640651	violation	protocol	DCE_RPC	CpiqsQCT6tzU9lJ7d	-	175.45.176.2	64640	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244531.075780	violation	protocol	SSH	CHGwOserd9HX4Dbd9	-	59.166.0.3	60418	149.171.126.5	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244532.382526	violation	protocol	DCE_RPC	CRKR4L2hdVxvyehkkj	-	175.45.176.2	58141	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244533.603044	violation	protocol	DCE_RPC	C5nwKR1rS1sq9cShMe	-	175.45.176.2	58515	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 1 > 16	-
1424244534.419439	violation	protocol	DCE_RPC	Ce6s4l1KWqORaZML6d	-	175.45.176.2	60051	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 2 > 16	-
1424244539.373290	violation	protocol	DCE_RPC	C5AyZSfGZ9eNujKTg	-	175.45.176.2	4811	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244540.191325	violation	protocol	DCE_RPC	C5peJ93znU5y1CFEf8	-	175.45.176.2	57170	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244542.576969	violation	protocol	SSH	CXNuET1oEUGKXvEH3h	-	59.166.0.0	33230	149.171.126.6	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244544.576990	violation	protocol	SSH	CAlaQG16ARxjUtsYYb	-	59.166.0.1	50026	149.171.126.4	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244550.446382	violation	protocol	IMAP	ChItpx4En8bHm4vzA1	-	175.45.176.1	15540	149.171.126.11	143	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aYmyIXyqyGBl9BtYD49IIgmUWOJwmlPvhgWKoFiLPb3tbxtw3D4Jv1y6UZydNiZYjj1ObZJIuF7pcLP0pK1FJ\x0d\x0a--_075625176427993309754622\x0d\x0aContent-Type: application/pdf; name=nvyIyNmgXheP.pDF\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="nvyIyNmgXheP.pDF"\x0d\x0a\x0d\x0a%PDF-1.7=0D\x0a%=B4=A4=F6=FC=DC=D9=8E=FE=0D\x0a5 0 obj=0D\x0a<<=0D\x0a/Type /Action=0D\x0a/S /Launch=0D\x0a/F <<=0D\x0a/Unix (""/bin/who"")=0D\x0a>>=0D\x0a>>=0D\x0aendobj=0D\x0a1 0 obj=0D\x0a<<=0D\x0a/Type /Outlines=0D\x0a/Count 0=0D\x0a>>=0D\x0aendobj=0D\x0a4 0 obj=0D\x0a<<=0D\x0a/Type /Page=0D\x0a/Parent 3 0 R=0D\x0a>>=0D\x0aendobj=0D\x0a3 0 obj=0D\x0a<<=0D\x0a/Type /Pages=0D\x0a/Kids [4 0 R]=0D\x0a/Count 1=0D\x0a>>=0D\x0aendobj=0D\x0a2 0 obj=0D\x0a<<=0D\x0a/Type /Catalog=0D\x0a/Pages 3 0 R=0D\x0a/OpenAction 5 0 R=0D\x0a>>=0D\x0aendobj=0D\x0axref=0D\x0a0 6=0D\x0a0000000000 65535 f =0D\x0a0000000106 00000 n=0D\x0a0000000275 00000 n=0D\x0a0000000211 00000 n=0D\x0a0000000158 00	-
1424244557.492139	violation	protocol	DCE_RPC	CYwLfe3FMyNQhLCqZ	-	175.45.176.2	64768	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_Bind:assoc_group_id: 8 > 0	-
1424244559.176198	violation	protocol	SSH	CMzWIx3Mq5TcNYfQlh	-	59.166.0.0	3746	149.171.126.4	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244559.563159	violation	protocol	DCE_RPC	CBHcMGu9Cr5ME8Afc	-	175.45.176.2	2433	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_Bind:assoc_group_id: 8 > 1	-
1424244560.565516	violation	protocol	DCE_RPC	C9Ju4t3NFrISKCykm5	-	175.45.176.2	63073	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_Bind:assoc_group_id: 8 > 2	-
1424244561.965466	violation	protocol	HTTP	C39a1e4AOJriy6bkKb	-	175.45.176.2	54424	149.171.126.14	80	not a http request line	-
1424244562.368283	violation	protocol	DCE_RPC	CLfCrj2GPzKeYOzqme	-	175.45.176.2	64704	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 15 > 16	-
1424244563.691341	violation	protocol	DCE_RPC	CjdxeW21yXOPFkVLK1	-	175.45.176.2	13111	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 14 > 16	-
1424244563.945113	violation	protocol	SSH	CdtMsxddN62J6tg5	-	175.45.176.2	38586	149.171.126.15	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1424244563.945331	violation	protocol	SSH	CdtMsxddN62J6tg5	-	175.45.176.2	38586	149.171.126.15	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1424244563.945671	violation	protocol	SSH	CdtMsxddN62J6tg5	-	175.45.176.2	38586	149.171.126.15	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1424244563.946080	violation	protocol	SSH	CdtMsxddN62J6tg5	-	175.45.176.2	38586	149.171.126.15	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1424244563.946928	violation	protocol	SSH	CdtMsxddN62J6tg5	-	175.45.176.2	38586	149.171.126.15	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1424244563.947300	violation	protocol	SSH	CdtMsxddN62J6tg5	-	175.45.176.2	38586	149.171.126.15	22	Binpac exception: binpac exception: invalid index for case: SSH_Key_Exchange: 3	-
1424244566.310879	violation	protocol	DCE_RPC	C1X0cS3E01LY16WBK7	-	175.45.176.2	59592	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 1 > 16	-
1424244566.962874	violation	protocol	DCE_RPC	C4xgp81vxUxeUAzqKb	-	175.45.176.2	58205	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 2 > 16	-
1424244567.719579	violation	protocol	DCE_RPC	C0UwIp41NVf4RmJO1e	-	175.45.176.2	60274	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 3 > 16	-
1424244568.648767	violation	protocol	DCE_RPC	C8lIn44skRg513MJOb	-	175.45.176.2	60053	149.171.126.13	135	Binpac exception: binpac exception: out_of_bound: DCE_RPC_PDU:frag: 0 > 16	-
1424244569.277381	violation	protocol	SSH	Cx7aJr4B42xW0mKPDh	-	59.166.0.5	19816	149.171.126.9	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244579.627510	violation	protocol	IMAP	CTDIl941E09QwMP812	-	175.45.176.3	16802	149.171.126.13	143	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aGQF6BXvykYXZuKMOfDTM4c41izc0owoVQ9whBVuN7tm719gtwzOA\x0d\x0a--_613337156288716355557508\x0d\x0aContent-Type: image/x-emf; name=TFAAJyWgSw.eMf\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="TFAAJyWgSw.eMf"\x0d\x0a\x0d\x0a=01=00=00=00X=00=00=00=01=00=00=00=0E=00=00=00=1F=03=00=00W=02=00=00)=00=00=\x0a=000=02=00=00=BF=80=00=00=98]=00=00 EMF=00=00=01=00=E0|=00=00'=00=00=00=07=\x0a=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00 =03=00=00X=02=00=00J=01=00=00=\x0a=F0=00=00=00y=00=00=00=1C=03=00=00=01=00=00=008=00=00=00=01=00=00=00=00=03=\x0a=00=00Y2bTi1wAU3S0bbmyAC7VDsD2HkcioLPdYBkXuXjHZVwsT8YXaL4f0cUN5PJPVvOw2aN=\x0aKx20zTMtpo4IeMGipqA7cfu7FMTVxxvCDGvjS448qzAlDTWdPmfrM5wPlBTE3DQIVeI7Qb6co=\x0aY5Y8YMsOr2rre5cn8eE2h714GHrqp1lWRfyP5PDwETwedFyELoz4qX03zOcTRNjyf0WI38V2v=\x0aYsd17YGECrjLEXZgYJx:=00lgJ0alRN3kKgyUompb28ptuwMUqz19QuQkw4m0Ht8Y	-
1424244582.077572	violation	protocol	SSH	C5EzF03cMcfVZBSU72	-	59.166.0.5	64651	149.171.126.4	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244592.976672	violation	protocol	SSH	CI2YV243LdYe1zJadg	-	59.166.0.3	18731	149.171.126.0	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
1424244594.257933	violation	protocol	IMAP	CAnDvy1InSCM2H8A2h	-	175.45.176.1	49891	149.171.126.14	143	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aYwIrN28Re34h2XZtmMbo\x0d\x0a--_791369384992224793021717\x0d\x0aContent-Type: application/msword; name=kx0qTGb.doc\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="kx0qTGb.doc"\x0d\x0a\x0d\x0a=D0=CF=11=E0=A1=B1=1A=E1=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00>=\x0a=00=03=00=FE=FF\x09=00=06=00=00=00=00=00=00=00=00=00=00=00=01=00=00=00"=00=00=\x0a=00=00=00=00=00=00=10=00=00$=00=00=00=01=00=00=00=FE=FF=FF=FF=00=00=00=00=\x0a!=00=00=00=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF	-
1424244597.915018	violation	protocol	IMAP	C3UjmX36ekRnZoFTR2	-	175.45.176.3	2916	149.171.126.16	143	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0a"	-
1424244598.977737	violation	protocol	SSH	CJmVYa3LfTuCmcdbq3	-	59.166.0.6	58057	149.171.126.0	22	Binpac exception: binpac exception: out_of_bound: SSH2_KEXINIT:cookie: 16 > 4	-
