#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dpd
#open	2025-03-07-06-46-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	analyzer	failure_reason
#types	time	string	addr	port	addr	port	enum	string	string
1421929806.555332	CW3xet1Bx15UOtUBlf	175.45.176.2	5060	149.171.126.18	5060	udp	SIP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/sip/sip-protocol.pac:62: \x0aexpected pattern: ":"\x0aactual data: "100 Trying"
1421930095.839829	CjkAKY1io0PYqCsdh3	175.45.176.1	17096	149.171.126.14	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/html\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: inline\x0d\x0a\x0d\x0aPGh0bWw+PGhlYWQ+PC9oZWFkPjxib2R5PjxhIGhyZWY9IkM6XHVOLmV4ZSI+\x0abHdBb2h4eHRqdUdRUGp0Q1ZUUmRxb0hSelFkdUg8L2E+PC9ib2R5PjwvaHRt\x0abD4=\x0a\x0d\x0a--_931495796752563086259419--\x0d\x0a\x0d\x0a UID 1)\x0d\x0aa005 OK FETCH\x0d\x0a"
1421930110.986475	Cb6YvxNkbLHnb36Pc	175.45.176.2	57620	149.171.126.13	25	tcp	SMTP	reply code -1 out of range [QUIT]
1421930137.498546	CXtRVzhfbn6iKlXyi	175.45.176.1	30792	149.171.126.19	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0a4CanP7sLtNC91GhFmZnVpd84GmrUJHB9VOAvFbMHmGjNxVHhCSrbJKaEIYermQtNsCnW0BNCUdSto2gbdX2FAbg\x0d\x0a--_114600664767282070041203\x0d\x0aContent-Type: application/x-embeddedopentype; name=2SR3NJtgGwmUod4.eOT\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="2SR3NJtgGwmUod4.eOT"\x0d\x0a\x0d\x0a=E7=00=01=00-=00=01=00=01=00=02=00=00=00=00=00=02=00=00=00=00=00=00=00=00=\x0a=00=01=00=00=00=00=00=00=00LP=C0=D7=C7=DD.=00k=BF=97=14=D0=A0vx=08=01=C9=FC=\x0a8=16=9C=83c=05=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=\x0a=00=00=16=00O=00q=00E=00 =00W=00"=00o=00x=00A=00i=00)=00=00=00=12=00,=00T=\x0a=00 =00j=00n=00A=00 =00p=00r=00=00=00=16=00 =00N=00L=00 =00a=00Z=00n=00 =00=\x0aS=00 =00C=00=00=00=10=00x=00$=00G=00 =00&=00'=00Q=00u=00=00=00=08=00-=00l=\x0a=00I=00.=00=00=01=00=00=00=01=01=00=00=00=00=00name=FB=D8e=1D=00=00=00=10=\x0a=0
1421930174.782031	CfnFsSFoAEfAZunQc	175.45.176.0	59639	149.171.126.16	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aFy9D6rIdUaJaqkbCtZqqJim2F\x0d\x0a--_682100668623941430325458\x0d\x0aContent-Type: application/vnd.ms-excel; name=RtUf6V1Qxm.XlS\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: attachment; filename="RtUf6V1Qxm.XlS"\x0d\x0a\x0d\x0a0M8R4KGxGuEAAAAAAAAAAAAAAAAAAAAAPgADAP7/CQAGAAAAAAAAAAAAAAAB\x0aAAAAAQAAAAAAAAAAEAAAAwAAAAEAAAD+////AAAAAAAAAAD/////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a//////////
1421930181.062070	Cq9b462NJF3xdxl0Qi	175.45.176.1	1375	149.171.126.19	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aiTLxMfz0G8Ba5RvwWC82vGEefMjYyWRop8cmNMHjbOYa2L\x0d\x0a--_463794475471269182526680\x0d\x0aContent-Type: application/octet-stream; name=6FioaeJcAWH5S5.rTF\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: attachment; filename="6FioaeJcAWH5S5.rTF"\x0d\x0a\x0d\x0ae1xydGYxIHtcc3R5bGVzaGVldFxzdHlsZXNoZWV0XHN0eWxlc2hlZXRcc3R5\x0abGVzaGVldFxzdHlsZXNoZWV0XHN0eWxlc2hlZXRcc3R5bGVzaGVldFxzdHls\x0aZXNoZWV0XHN0eWxlc2hlZXRcc3R5bGVzaGVldFxzdHlsZXNoZWV0XHN0eWxl\x0ac2hlZXRcc3R5bGVzaGVldFxzdHlsZXNoZWV0XHN0eWxlc2hlZXRcc3R5bGVz\x0aaGVldFxzdHlsZXNoZWV0XHN0eWxlc2hlZXRcc3R5bGVzaGVldFxzdHlsZXNo\x0aZWV0XHN0eWxlc2hlZXRcc3R5bGVzaGVldFxzdHlsZXNoZWV0XHN0eWxlc2hl\x0aZXRcc3R5bGVzaGVldFxzdHlsZXNoZWV0XHN0eWxlc2hlZXRcc3R5bGVzaGVl\x0adFxzdHlsZXNoZWV0XHN0eWxlc2hlZXRc\x0a\x0d\x0a--_463794475471269182526680--\x0d\x0a\x0d\x0a UID 1)\x0d\x0aa005 OK FETCH\x0d\x0a"
1421930184.058032	Cs7bt6DoNZzE80mDc	175.45.176.3	15826	149.171.126.13	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aS6PWfCFg4dPSeHhFhLcYyUBCtsqWBq1epUgt5G7XHIstHVxD7Wuj8YqrwMOVCuUVcOhTnTA\x0d\x0a--_737870738461896073738279\x0d\x0aContent-Type: application/octet-stream; name=z1kPRAL.XLS\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: attachment; filename="z1kPRAL.XLS"\x0d\x0a\x0d\x0a0M8R4KGxGuEAAAAAAAAAAAAAAAAAAAAAPgADAP7/CQAGAAAAAAAAAAAAAAAB\x0aAAAAAQAAAAAAAAAAEAAADwAAAAEAAAD+////AAAAAAAAAAD/////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a////////////////////////////////////////////////////////////\x0a///////////////////////////////
1421930210.446202	CgWLb54KN5ofZPqPG8	175.45.176.1	28635	149.171.126.13	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0ajcMzWrMmS42nPHgh8LdrJNyvMz84iqLXWl0Yo4y2X\x0d\x0a--_450153830038715256388493\x0d\x0aContent-Type: application/vnd.ms-excel; name=PMPkRH6QjLN8.xls\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="PMPkRH6QjLN8.xls"\x0d\x0a\x0d\x0a=D0=CF=11=E0=A1=B1=1A=E1=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00>=\x0a=00=03=00=FE=FF\x09=00=06=00=00=00=00=00=00=00=00=00=00=00=01=00=00=00=01=00=\x0a=00=00=00=00=00=00=00=10=00=00=03=00=00=00=01=00=00=00=FE=FF=FF=FF=00=00=00=\x0a=00=00=00=00=00=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=
1421930219.170117	CBKZl34c3HOjnfyFfg	175.45.176.2	44559	149.171.126.16	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aScNt9AiMmYvrKKJqGS2bKdAB2o3wxFtxpPX1RSHKthUOc8bmnWZrifaOJQlLMduBvghLAGpvmjlHRV\x0d\x0a--_417239094604247185191364\x0d\x0aContent-Type: image/png; name=tXsIZfW2vtp0n.Png\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="tXsIZfW2vtp0n.Png"\x0d\x0a\x0d\x0a=89PNG=0D\x0a=1A\x0a=00=00=00HtRNS=E7=C7e=D7b=A5=F7=94R=A5=8A=7F6=9Cj>=01=C8b=A3=9CeNN/=07I=DB=\x0aMW70J=F3=13=80=1A0=CF}=ECb=8D}=F8=C3=8A}=CB=D6=05=D6F<l=ED=CC=D9=8B$@]}=18=\x0aQb=ED=CA=00=00=00=01sRGB=00=AE=CE=1C=E9=00=00=0CvIDATx=9C=01k=0C=94=F3=00=\x0a+;@!=90=A3=FF.=84@=01=96=AD0/e=07J=0B=E8=C7=82=DF=EC=C5=DD'py>=10=DB=D7=19=\x0aK=EC=0C=81N=E9=01q=EC=08=9A`=BBd0H=95b[=CF=9E=D1=E4,=08=CEb'=0F=8A}M=81=AE=\x0a=03=A9=ED=EF=07=03=EC{=E1=A1=C1=AD=B6=A1=1D=F9j=08=13F=9B"&=0F=AB=F8=D5=FB=\x0a=86=9CWD=BB=DE=E5=E7\\=ED=D6]=81=8A=93V=8A=8B=88=D60=10=AB]=BA=EC=0B=EA#=B9=\x0a=A4=E1=8E=CC&=8Dq=FBN
1421930221.771169	CMkYOo1JnuM1H5j9i1	175.45.176.3	52918	149.171.126.15	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0amKhLvLazekHnZwCqQgD6k8MS6TAsYz8IUkDNEazEHchnwc9H59LmsMOYMX4cghJVqRvdcmZ55GZM7uXjQG1IO9StD7ilL3eIn6niHQ\x0d\x0a--_002202174154310310140338\x0d\x0aContent-Type: application/octet-stream; name=kBcIvBP1.RTf\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="kBcIvBP1.RTf"\x0d\x0a\x0d\x0a{\\rtf1\\adeflang1025\\ansi\\ansicpg1252\\uc1\\adeff37\\deff0\\stshfdbch31506\\sts=\x0ahfloch31506\\stshfhich31506\\stshfbi31507\\deflang1033\\deflangfe1033\\themela=\x0ang1033\\themelangfe0\\themelangcs0{\\fonttbl{\\f0\\fbidi \\froman\\fcharset0\\fpr=\x0aq2{\\*\\panose 02020603050405020304}yByisc0r1Lkvhu0XhNpQapB1Kl;}=0D\x0a{\\f11\\fbidi \\fmodern\\fcharset128\\fprq1{\\*\\panose 02020609040205080304}MS =\x0aMincho{\\*\\falt ?l?r ??8166c};}{\\f34\\fbidi \\froman\\fcharset0\\fprq2{\\*\\pano=\x0ase 02040503050406030204}Cambria Math;}=0D\x0a{\\f37\\fbidi \\fswiss\\fcharset0\\fprq2{\\*\\panose 020f0502
1421930231.952198	CvozZ1Z7PTuAkgslj	175.45.176.3	28463	149.171.126.15	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0aiypmnGCFYwAK94CP0m6DrTE1oAqn9QriWMTIp1k2kYPsvU339njFe9uwz4\x0d\x0a--_589425019792642122475338\x0d\x0aContent-Type: video/x-msvideo; name=xR7xcX1NUZRB.AvI\x0d\x0aContent-Transfer-Encoding: base64\x0d\x0aContent-Disposition: attachment; filename="xR7xcX1NUZRB.AvI"\x0d\x0a\x0d\x0aUklGRlQAAABBVkkgTElTVEQAAABoZHJsYXZpaMgAAAAW9gAACzYBAAAAAAAQ\x0aCAAAMgAAAAAAAAABAAAAshEAAEABAADwAAAAAAAAAAAAAAAAAAAAAAAAAA==\x0a\x0d\x0a--_589425019792642122475338--\x0d\x0a\x0d\x0a UID 1)\x0d\x0aa005 OK FETCH\x0d\x0a"
1421930232.670683	COs4Tf4BeWPWiekYsh	175.45.176.2	8525	149.171.126.12	143	tcp	IMAP	Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/imap/imap-protocol.pac:19: \x0aexpected pattern: "[ ]+"\x0aactual data: "\x0d\x0aContent-Type: text/plain\x0d\x0aContent-Disposition: 7bit\x0d\x0a\x0d\x0arSbZ5slSMMQaai5BFRTfvsFsesm8A9QMwd8YxBiAHmmKb863MTlkS0pcnFcHNDtFlTpaaTbIkVRDyhr10yHVPDf4i3QdqsftURMXK\x0d\x0a--_071087770680880423357109\x0d\x0aContent-Type: application/vnd.ms-powerpoint; name=LS57IJGR.ppt\x0d\x0aContent-Transfer-Encoding: quoted-printable\x0d\x0aContent-Disposition: attachment; filename="LS57IJGR.ppt"\x0d\x0a\x0d\x0a=D0=CF=11=E0=A1=B1=1A=E1=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00=00>=\x0a=00=03=00=FE=FF\x09=00=06=00=00=00=00=00=00=00=00=00=00=00=01=00=00=00=01=00=\x0a=00=00=00=00=00=00=00=10=00=00=02=00=00=00=01=00=00=00=FE=FF=FF=FF=00=00=00=\x0a=00=00=00=00=00=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=\x0a=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF=FF
